map,all,Single,Duo,Squad,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
erangel,10171751,2244497,3336388,4590866,177592,540524,460584,708397,442363,504003,425240,651523,414863,486521,424878,661656,434546,510118,437477,687686,431587,486768,391830,893595
miramar,2239239,419219,671612,1148408,36516,122195,104745,165251,99588,112271,94788,150025,93672,110233,96220,154743,99529,116249,101141,164415,97421,96849,64643,158745
